There were varying degrees of Romanization throughout Roman Dacia.	達契亞行省各處都有不同程度的羅馬化。
"Memory of a Free Festival" was Bowie's reminiscence of an arts festival he had organised in August 1969.	《自由慶典的記憶》是鮑伊回想他在 1969 年 8 月舉辦過的一場藝術音樂節。
Its drawn-out fade/chorus ("The Sun Machine is coming down / And we're gonna have a party") was compared to The Beatles' "Hey Jude"; the song has also been interpreted as a derisive comment on the counterculture it was ostensibly celebrating.	它冗長的淡出/合唱 (「太陽機器即將落下 / 而我們將舉辦派對」) 被拿來和披頭四「Hey Jude」比較；該歌曲也被詮釋為對表面上讚頌的反文化做出嘲諷評論。
The background vocals for the crowd finale featured Bob Harris, his wife Sue, Tony Woollcott and Marc Bolan among other people.	大合唱終曲的背景演唱特別呈現了鮑伯·哈里斯、他的妻子蘇、東尼·沃柯特和馬克·波倫等人。
In 1970 Bowie cut the tune in half for the A- and B-sides of a more rock-oriented version featuring the band that would accompany him on The Man Who Sold the World later that year: Mick Ronson, Tony Visconti and Mick Woodmansey – an embryonic form of Ziggy Stardust's Spiders From Mars.	1970 年，鮑伊針對較為搖滾導向的版本 A 面和 B 面將曲調減半；該版本主打的是當年稍後和他在《出賣世界的男人》伴奏的樂團：米克·朗森、托尼·維斯康蒂和米克·伍德曼西。此版本是《Ziggy Stardust 來自火星的蜘蛛》的雛形。
NY 215 began at a three-way intersection with NY 360 east of the hamlet of Morton in the town of Hamlin.	NY 215 的開端是與漢姆林鎮摩頓村東邊 NY 360 交會的三向路口。
NY 360 turned off Redman Road here to follow Morton Road west to the hamlet of Morton while NY 215 headed north on Redman Road.	NY 360 在這裡轉離雷德曼路以沿著摩頓路往西至摩頓村，NY 215 則是在雷德曼路上往北前進。
It passed by open, cultivated fields and small pockets of residences as it proceeded through rural northwestern Monroe County.	它在穿越門羅郡西北郊區的途中，行經了開闊的耕田和小型零星的住宅。
After 1.5 miles (2.4 km), NY 215 intersected Moscow Road, a local highway connecting NY 215 to the then-western end of the Lake Ontario State Parkway.	1.5 英哩 (2.4 公里) 之後，NY 215 與莫斯科路交會；這是一條將 NY 215 連接到當時安大略湖州立公園大道西端的當地公路。
North of Moscow Road, the fields on the highway's east side slowly gave way to forested areas as the route approached Hamlin Beach State Park and intersected Cook Road.	莫斯科路北邊，隨著路線接近漢姆林海灘州立公園並和庫克路交會，公路西側的田野慢慢地被樹木叢生的區域取代。
The route terminated 500 feet (150 m) north of Cook Road at the southern boundary of Hamlin Beach State Park.	這條路線的終點在漢姆林海灘州立公園南方邊界的庫克路北邊 500 英呎 (150 公尺) 處。
The physical roadway continued into the park and to nearby Lake Ontario as a local highway.	實體道路繼續進入公園，並作為當地公路前往附近的安大略湖。
The portion of Redman Road north of modern NY 360 in Hamlin was a state highway as early as 1920; however, it was not assigned a designation until the early 1940s, when it became NY 215.	漢姆林現今 NY 360 北邊的雷德曼路部分，早在 1920 年時就是州立公路，但是直到 1940 年代初期才獲派稱號，也就在當時成為 NY 215。
At the time, it was the primary highway to and from Hamlin Beach State Park on the Lake Ontario shoreline, as no continuous east–west lakeside roadway existed at the time.	當時，它是往返安大略湖湖岸之漢姆林海灘州立公園的主要公路，因為那時候沒有連續的東西向湖畔道路。
This changed in the late 1940s and early 1950s following the construction of the Lake Ontario State Parkway, a lakeshore highway connecting the park to NY 261 in Greece.	這一點在 1940 年代晚期和 1950 年代早期建造安大略湖州立公園大道之後改變了；該公園大道是將公園連接至葛利斯的 NY 261 的湖岸公路。
The parkway began east of NY 215 at Moscow Road and provided a direct connection to Hamlin Beach State Park from Greece, and eventually Rochester.	公園大道始自莫斯科路的 NY 215 東邊，並從葛利斯直接銜接到漢姆林海灘州立公園，以及最後的羅徹斯特。
As a result, NY 215 became merely an alternate route to the park.	因此，NY 215 僅成了前往公園的替代路線。
In the early 1970s, the Lake Ontario State Parkway was extended westward across Monroe and Orleans counties to Lakeside Beach State Park in Carlton.	1970 年代初期，安大略湖州立公園大道往西延伸至穿越門羅和奧爾良郡，直到卡爾頓的湖畔海灘州立公園。
NY 215's connection to Hamlin Beach State Park was severed as part of the construction.	在建造的過程中，NY 215 對漢姆林海灘州立公園的連接遭到截斷。
As a result, the remaining portion of NY 215 from NY 360 to Cook Road lost its signed route status and was redesignated NY 941P, an unsigned reference route.	因此，NY 215 從 NY 360 到庫克路的剩餘部分失去了其標示路線狀態，而且重新定名為未標示的參考路線 NY 941P。
The highway remained state maintained until 2007, when ownership and maintenance of it was transferred from the state of New York to Monroe County as part of a highway maintenance swap between the two levels of government.	這條公路一直到 2007 年都是由州政府維護，該年它的擁有權和維修從紐約州轉移給門羅郡，作為兩個政府層級之間公路維護互換的一部分。
A bill (S4856, 2007) to enact the swap was introduced in the New York State Senate on April 23 and passed by both the Senate and the New York State Assembly on June 20.	4 月 23 日在紐約州參議院推行了一項法案 (S4856, 2007) 以頒布此互換事項，並在 6 月 20 日由參議院和紐約州眾議院雙方通過。
The act was signed into law by Governor Eliot Spitzer on August 28. Under the terms of the act, it took effect 90 days after it was signed into law; thus, the maintenance swap officially took place on November 26, 2007. The former routing of NY 941P is now part of CR 236.	這個法案在 8 月 28 日由州長艾略特·史必哲簽署成為法律。根據法案的條款，它在簽署成為法律的 90 天後生效；因此，維護工作的互換在 2007 年 11 月 26 日正式實施。NY 941P 先前的路線現在是 CR 236 的一部分。
Like all species in the genus Lactarius, L. subflammeus is mycorrhizal, forming mutualistic associations with trees.	就像乳菇屬中的所有種類，橙乳菇是與樹木形成互利共生關係的菌根。
The fungus and the plant forms structures called ectomycorrhizae, a specialized sheath of hyphae on the surface of the root from which hyphae extend into the soil and into the outer cortical cells of the root.	這種真菌和植物會形成稱為外生菌根的結構，是根部表面上的特殊菌絲鞘，菌絲從其中延伸到土壤中，並進入根部的外部皮質細胞。
The fruit bodies of L. subflammeus grow scattered to grouped under conifers or in mixed conifer-hardwood forests near pine and spruce, from August to December.	8 月到 12 月間，橙乳菇的子實體會在針葉樹下方或混合針葉闊葉林中松樹及雲杉的附近，分散地生長至成群。
The fungus is widely distributed in the Pacific Northwest, where it is very common in conifer forests.	這種真菌廣泛地分布在太平洋西北地區，在其中的針葉林中非常常見。
The habitat of the type location was coastal sand dunes under pine.	這種模式的棲地地點是海岸沙丘的松樹下方。
States from which the fungus has been collected include Washington, Idaho, Oregon, California, and Colorado.	曾經採集到這種真菌的州包括華盛頓、愛達荷、奧勒岡、加州和科羅拉多。
The mushroom's range extends north into Canada, where it has been found near Victoria, British Columbia in coastal forests dominated by Douglas-fir (Pseudotsuga menziesii).	這種真菌的範圍延伸至加拿大，曾在卑詩省維多利亞附近主要生長花旗松 (Pseudotsuga menziesii) 的海岸森林中發現。
Brooks left St.	布魯克斯離開了聖
Ives and moved to Paris.	艾維斯並搬到巴黎。
Poor young painters such as Pablo Picasso and Henri Matisse were creating new art in the Bohemian districts of Montparnasse and Montmartre.	像帕布羅·畢卡索和亨利·馬諦斯這類的年輕窮畫家，都在蒙帕納斯和蒙馬特的波西米亞區創作新藝術。
In contrast, Brooks took an apartment in the fashionable 16th arrondissement, mingled in elite social circles, and painted portraits of wealthy and titled women.	相反地，布魯克斯在時尚的第 16 區租下一間公寓、與上流社交圈交往，並畫出富裕且有地位的女性肖像。
These included her current lover, the Princess de Polignac.	這些肖像包括她當時的情人，波利尼亞克公主。
In 1910 Brooks had her first solo show at the prestigious Gallery Durand-Ruel, displaying thirteen paintings, almost all of women or young girls.	1910 年，布魯克斯在具聲望的杜朗魯耶畫廊舉辦第一場個展，展示了十三幅畫作，幾乎全數都是女性或年輕女孩。
Some were portraits; others showed anonymous models in interior scenes or against tonal backgrounds, often with pensive or withdrawn expressions.	有些是肖像；其他則是展示在室內場景或使用調色背景的匿名模特兒，通常帶有哀愁或孤僻的表情。
The paintings were generally naturalistic, showing an attentive eye for the details of Belle Époque fashion, with parasols, veils, and elaborate bonnets on display.	這些畫作普遍來說屬自然主義，展現了洋傘、面紗和精緻的無邊女帽，顯示出對美好年代時尚的細微觀察。
Brooks included two nude studies in this first exhibition—a provocative choice for a woman artist in 1910.	布魯克斯在這個第一場展覽中納入了兩幅裸體習作──這在 1910 年對於女性藝術家而言是相當大膽的選擇。
In The Red Jacket, a young woman stands in front of a large folding screen, wearing only a small open jacket, with her hands behind her back.	在《紅外套》中，有一位年輕女性站在大型摺疊屏風前，僅穿著一件小型開襟外套，並將雙手放在背後。
She is so frail, and her downcast face looks so forlorn that one contemporary reviewer referred to her as a consumptive; Brooks described her simply as "a poor girl who was cold".	她非常虛弱，而且垂頭喪氣的臉看起來如此悲慘，以至於一位當代評論家將她稱為肺病患者；布魯克斯僅將她形容為「感到寒冷的窮女孩」。
The other, White Azaleas, is a more sexually charged nude study of a woman reclining on a couch.	另一幅《白色杜鵑花》是一位女性斜躺在沙發上、更充滿色情意味的裸體習作。
Contemporary reviews compared it to Francisco de Goya's La maja desnuda and Édouard Manet's Olympia.	當代評論將它與法蘭西斯科·哥雅的《La maja desnuda》和愛德華·馬奈的《奧林匹亞》進行比較。
Unlike the women in those paintings, the subject of White Azaleas looks away from the viewer; in the background above her is a series of Japanese prints which Brooks loved.	與那些畫作中的女性不同的是，《白色杜鵑花》主角的視線避開了觀賞者；她上方的背景中是布魯克相當喜愛的一系列日本版畫。
The exhibition established Brooks' reputation as an artist.	該展覽確立了布魯克斯的藝術家聲望。
Reviews were effusive, and the poet Robert de Montesquiou wrote an appreciation calling her "the thief of souls." The restrained, almost monochromatic decor of her home also attracted attention; she was often asked to give advice on interior design, and sometimes did, though she did not relish the role of decorator.	評論相當熱烈，詩人羅伯特·德孟德斯鳩還寫了一篇賞析，稱她為「靈魂偷竊者」。她家中樸素到幾乎單色的裝飾也引起了注意；經常有人要求她提供室內設計的建議，而儘管她並不喜歡裝潢師的角色，有時候還是會提供。
Brooks became increasingly disillusioned with Parisian high society, finding the conversation dull, and feeling that people were whispering about her.	布魯克斯對於巴黎上層社會的幻想逐漸破滅，因為她發現對話乏味，而且覺得人們私底下都在議論她。
Despite her artistic success, she described herself as a lapidée—literally, a victim of stoning.	即使在藝術上獲得成功，她仍然形容自己為 lapidée—字面上的意思是遭石頭砸死的受害者。
In 1909 Brooks met Gabriele D'Annunzio, an Italian writer and politician who had come to France to escape his debts.	1909 年，布魯克斯遇見了加布里埃爾·達努吉歐，一位到法國躲避債務的義大利作家和政治家。
She saw him as a martyred artist, another lapidé; he wrote poems based on her works and called her "the most profound and wise orchestrator of grays in modern painting".	她將他視為具犧牲精神的藝術家，也就是另一個 lapidé；他以她的作品寫了詩，並稱她「在現代繪畫中最有深度和智慧的灰色編排者」。
Astrocytes form gap junctions and are closely associated with the vasculature and its basal lamina in the adult SVZ and subsequently in the RMS.	星狀細胞會形成裂隙接合，而且與成體 SVZ 和之後 RMS 中的血管分布及其基底層密切相關。
They may serve as an interface to modulate influences of endothelial and circulation-derived factors as well as the availability of cytokines and growth factors in this system.	它們可能有介面的作用，可調節內皮和循環衍生因子的影響，以及此系統的細胞激素可用性和成長因子。
In addition, astrocytes derived from the neurogenic hippocampus and SVZ, but not from the non-neurogenic spinal cord, promote proliferation and neuronal fate commitment of multipotent adult neural stem cells in culture, suggesting a role in the RMS.	此外，衍生自神經性海馬迴和 SVZ，而不是來自非神經性脊隨的星狀細胞，在培養中會促進多潛能成體神經幹細胞的增生和神經命運承諾，意指在 RMS 中有所作用。
Astrocytes express a number of secreted and membrane-attached factors both in vitro and in vivo that are known to regulate proliferation and fate specification of adult neural precursors as well as neuronal migration, maturation, and synapse formation.	星狀細胞在試管和活體內都表現出多個隱匿且附著在膜上的因子，而它們已知會控制成體神經前驅細胞的增生和命運特化，以及神經元移行、成熟和突觸形成。
In the adult SVZ, astrocytes express Robo receptors and regulate the rapid migration of SLIT1-expressing neuroblasts through the RMS.	在成體 SVZ 中，星狀細胞會表現 Robo 受體，並透過 RMS 來調節表現出 SLIT1 之神經母細胞的快速移行。
Additionally, it has been proposed that the neuroblasts themselves play a role in modulating the astrocytes through Slit-Robo interactions.	此外，也有人提出神經母細胞本身會透過裂隙-Robo 互動的方式，在調節星狀細胞方面發揮作用。
In the absence of Slit, astrocytic processes do not align correctly, or create the "tubes", instead running across the migrating neurons.	缺少裂隙時，星狀細胞處理就無法正確調整，或是會產生「管壁」，而不是穿過移行神經元。
Adult SVZ astrocytes also appear to release glutamate to regulate the survival of neuroblasts.	成體 SVZ 星狀細胞似乎也會釋放麩胺酸鹽來調節神經母細胞的存活。
Unique to the adult SVZ, ependymal cells lining the ventricular wall are in close association with neural precursors and their progeny, acting like a shield to protect the "neurogenic niche", a zone in which stem cells are retained after embryonic development for the production of new cells of the nervous system.	成體 SVZ 獨有的是，心室壁內襯的室管膜細胞與神經前驅細胞及其子代密切相關，有如盾牌一樣保護「神經性利基」，也就是是胚胎發育後保留幹細胞以便神經系統產生新細胞的區域。
Ependymal cells actively regulate neuronal fate specification of adult neural precursors through release of Noggin.	室管膜細胞會透過釋放 Noggin 來主動調節成體神經前驅細胞的神經元命運特化。
Beating of the cilia of ependymal cells appears to set up concentration gradients of guidance molecules, such as cytokines TNF-α (tumor necrosis factor) and IGF-1 (insulin-like growth factor), to direct migration of neuroblasts, such as in the RMS.	室管膜細胞的纖毛拍打似乎會設定導向分子 (例如細胞激素 TNF-α (腫瘤壞死因子) 和 IGF-1 (似胰島素生長因子)) 的濃度梯度，能夠引導神經母細胞的移行，例如在 RMS 中。
Microglia also actively regulate adult neurogenesis.	神經膠質細胞也會主動調節成體神經生成。
Under basal conditions, apoptotic corpses of newly generated neurons are rapidly phagocytosed from the niche by unactivated microglia in the adult SGZ.	在基本狀態下，成體 SGZ 中新產生之神經元的凋亡屍體會被未活化的小神經膠質細胞從利基快速吞噬。
Under inflammatory conditions, reactivated microglia can have both beneficial and detrimental effects on different aspects of adult neurogenesis, depending on the balance between secreted molecules with pro- and anti-inflammatory action.	在發炎狀態下，視隱匿分子與促進發炎和抗發炎作用之間的平衡而定，重新活化的小神經膠質細胞可能會對成體神經生成的不同層面同時帶來有益和有害的影響。
In one study, the activation of microglia and recruitment of T cells were suggested to be required for enriched environment-induced SGZ neurogenesis, suggesting a possible role in the RMS.	在一項研究中，建議需要活化小神經膠質細胞和補充 T 細胞才能濃化環境誘發的 SGZ 神經新生，意指在 RMS 中可能有所作用。
Cells in the RMS are believed to move by "chain migration".	RMS 中的細胞被認為是透過「連鎖移行」移動。
These neuroblasts are connected by membrane specializations including gap junctions and adherens junctions, moving along each other towards the olfactory bulb through glial tubes.	這些神經母細胞是以包括裂隙接合和黏連結合等膜特化方式連結，會順著彼此透過神經膠細胞管移向嗅球。
The pathway and mechanisms behind this movement are a ventriculo-olfactory neurogenic system (VONS), a glial framework, and a chemotaxic cell signalling system.	這種移動背後的途徑和機制是腦室-嗅覺神經性系統 (VONS)、神經膠細胞架構和趨化性細胞傳信系統。
The olfactory system is made up in part of the RMS which stretches from the subventricular zone in the wall of the lateral ventricle, through the basal forebrain, to the olfactory bulb (OB).	嗅覺系統一部分是由延伸自側腦室壁之腦室下區的 RMS 所組成，穿過基底前腦直到嗅球 (OB)。
VONS is the name given to this pathway, and it consists of the subventricular zone, the RMS, the olfactory tract and the olfactory bulb.	VONS 是此途徑的命名，而且是由腦室下區、RMS、嗅神經束和嗅球所組成。
On January 21, 2007, the Regional Specialized Meteorological Centre in Nadi, Fiji identified a tropical depression, which was given the number 08F, about 435 km (270 mi) west-northwest of Savai'i island in Samoa.	2007 年 1 月 21 日，位於斐濟納迪的區域專責氣象中心發現了一個熱帶低壓，並為其提供編號 08F，大約在薩摩亞薩瓦伊島西北西 435 公里 (270 英哩) 處。
The depression slowly traveled towards the east-southeast for several days as the overall structure of the storm fluctuated due to diurnal variations and strong wind shear.	該低氣壓數天緩慢地移向東南東，同時暴風整體結構因為日變化和強烈風切而有所波動。
Around 1700 UTC on January 22, the Joint Typhoon Warning Center (JTWC) issued a Tropical Cyclone Formation Alert for the depression.	大約 1 月 22 日 17:00 UTC 時，聯合颱風警報中心 (JTWC) 針對這個低壓發出熱帶氣旋形成警報。
The system developed a large banding feature in the northern portion of the circulation and deep convection formed around the center of circulation.	該系統在環流的北邊部分發展出大型的成帶現象，並在環流中心附近形成深對流。
The depression had moved into an area of weak to moderate wind shear with favorable diffulence aloft.	這個低氣壓曾進入一個高空具備有利分流的弱至中度風切區域。
Later that day, gale warnings were issued for the northeastern quadrant of the system.	當天稍晚針對該系統的東北象限發出了強風警報。
Tropical Depression 08F continued to develop as an anticyclone developed above the system, enhancing the environment around it.	熱帶低壓 08F 持續發展，同時系統上方發展出一個反氣旋，因此強化了它周邊的環境。
A mid-latitude trough located north of the depression was steering it towards the east.	一個位於低壓北邊的中緯度低壓槽使它往東轉向。
Early on January 24, the system became better organized and strengthened into a cyclone at 0600 UTC.	1 月 24 日一早，該系統變得結構更穩固，並在 06:00 UTC 增強成氣旋。
The storm, which was named Arthur by the RSMC Nadi, began to undergo rapid intensification as the structure improved significantly.	這個由納迪 RSMC 命名為亞瑟的風暴開始快速增強，同時結構大幅增進。
Deep convection developed around the center with strong outflow towards the north.	中心附近發展出深對流，且帶有往北的強勁外流。
Several hours after becoming a cyclone, the JTWC issued their first advisory on Tropical Cyclone 09P as it traveled quickly towards the east-southeast.	成為氣旋之後數小時，隨著熱帶氣旋 09P 快速移向東南東，JTWC 對它發出了第一個警示。
The quick movement was due to the influences of subtropical ridge to the north and a trough to the south.	這個快速移動是北邊的副熱帶脊和南邊的低壓槽影響所造成。
Later that day, a banding eye feature began to develop as the storm intensified into a Category 2 cyclone on the Australian intensity scale.	當天稍晚，暴風增強成澳洲強度等級的 2 級氣旋時，一個雲捲風眼形貌開始發展。
At 1800 UTC, the JTWC assessed Arthur to have reached its peak intensity with winds of 120 km/h (75 mph 1-minute winds), the equivalent of a minimal Category 1 hurricane on the Saffir-Simpson Hurricane Scale.	18:00 UTC 時，JTWC 評估亞瑟已達到最高強度，具備 120 km/h (1 分鐘風速 75 mph)，等於薩菲爾-辛普森颶風風力等級的 1 級颶風最低程度。
Early on January 25, Arthur reached its peak intensity with winds of 110 km/h (70 mph 10-minute winds) with a minimum pressure of 975 hPa (mbar) while located about 635 km (350 mi) north-northwest of Rarotonga.	1 月 25 日一早，亞瑟位在拉羅湯加北北西約 635 公里 (350 英哩) 時，以 110 km/h 的風 (10 分鐘風速 70 mph) 和最低氣壓 975 hPa (mbar) 達到最高強度。
Shortly after peaking in intensity, Arthur began to undergo an extratropical transition and rapidly deteriorated due to strong wind shear.	在強度達到巔峰後不久，亞瑟開始經歷溫帶氣旋轉換，並因為強勁的風切而迅速劣化。
The storm also began to merge with a low-level frontal boundary associated with the remnants of Tropical Cyclone Zita.	暴風也開始與殘餘的熱帶氣旋思蒂關聯的低層前邊界合併。
The strong shear left the center of circulation partially exposed, with deep convection persisting in only the southeastern quadrant.	強勁的風切使得環流中心有一部分暴露在外，只在東南象限持續存在深對流。
In addition to the shear, dry air began to enter the system, causing it to weaken further.	除了風切之外，乾空氣也開始進入系統，導致它進一步減弱。
The olm is a symbol of Slovenian natural heritage.	洞螈是斯洛維尼亞自然遺址的象徵。
The enthusiasm of scientists and the broader public about this inhabitant of Slovenian caves is still strong 300 years after its discovery.	在發現這種斯洛維尼亞洞穴棲息動物的 300 年後，科學家和普羅大眾對於牠的熱情仍然不減。
Postojna Cave is one of the birthplaces of speleobiology due to the olm and other rare cave inhabitants, such as the blind cave beetle.	由於波斯托伊納洞穴有洞螈和其他稀有洞穴棲息動物 (例如盲眼洞穴甲蟲)，因此是洞穴生物學的發源地之一。
The image of the olm contributes significantly to the fame of Postojna Cave, which Slovenia successfully utilizes for the promotion of ecotourism in Postojna and other parts of Slovenian karst.	洞螈的形象對波斯托伊納洞穴的名聲大有貢獻，斯洛維尼亞還成功地利用牠來推廣波斯托伊納及斯洛維尼亞其他喀斯特地形的生態旅遊。
Tours of Postojna Cave also include a tour around the speleobiological station – the Proteus vivarium, showing different aspects of the cave environment.	波斯托伊納洞穴之旅也包括在洞穴生物學站 (洞螈生態館) 周圍遊覽，該處展示了洞穴環境的不同層面。
The olm was also depicted on one of the Slovenian tolar coins, and was the namesake of Proteus, the oldest Slovenian popular science magazine, first published in 1933.	洞螈也描繪在其中一種斯洛維尼亞托拉爾硬幣上，而且與斯洛維尼亞最古老、首次出版於 1933 年的大眾科學雜誌《Proteus》同名。
Heavy rains from the storm affected the Philippines, causing flooding that forced 3,500 people to evacuate their houses.	暴風帶來的大雨影響了菲律賓，所導致的水患迫使 3,500 人撤離家園。
This occurred after a month of heavy rainfall from several tropical cyclones in July.	這發生在 7 月時多個熱帶氣旋帶來豪雨之後的一個月。
Officials closed schools and advised small boats to remain at port.	官方關閉了學校並建議小型船隻留在港口。
A vessel capsized offshore Antique Province, and its crew of 15 was rescued.	一艘船在安蒂克省翻覆，15 位船員均獲救。
At least six people died due to electrocution, after downed power lines touched floodwaters.	倒塌的電力線路觸及洪水後，至少六人因觸電而死亡。
The storm spawned a tornado and caused landslides in Negros Oriental.	暴風釀成龍捲風，並導致東內格羅發生山崩。
The storm killed 35 people in the country and injured 22 others.	暴風在這個國家奪走 35 人的性命，還有 22 人受傷。
Damage was estimated at $3.3 million (₱172 million 2002 PHP).	損失估計為 330 萬美元 (2002 年版菲律賓比索為 1 億 7200 萬)。
Milenyo was the final storm to be named by PAGASA during 2002.	Milenyo 是菲律賓大氣地球物理天文服務管理局在 2002 年期間命名的最後一個暴風。
On August 17, the Hong Kong Observatory (HKO) issued standby signal number 1 due to the storm's reformation in the South China Sea.	8 月 17 日，因為暴風在南中國海重整，香港天文台 (HKO) 發出了 1 號戒備信號。
Vongfong made landfall west of the territory, although its outer rainbands spread across the region.	黃蜂在此地區的西部造成山崩，但其外圍雨帶遍布整個地區。
Slick roads contributed to a traffic accident in Sai Kung in which one person was killed.	濕滑道路導致西貢發生交通意外，一人因此喪生。
Rainfall in Hong Kong reached 133 mm (5.2 in) in the town of Kwai Chung.	香港的降雨在葵涌鎮達到 133 毫米 (5.2 英吋)。
The rainbands also produced gusty winds; sustained winds peaked at 75 km/h (47 mph), with gusts to 110 km/h (68 mph) at the mountain peak of Tai Mo Shan.	雨帶也產生陣風；持續風最高達到 75 km/h (47 mph)，且大帽山的山頂有 110 km/h (68 mph) 的陣風。
While moving ashore, Vongfong produced a storm surge of 0.48 m (1.6 ft) in Shek Pik.	黃蜂往陸上移動時，在石壁產生 0.48 公尺 (1.6 英呎) 的暴潮。
The storm downed a few trees across the territory, and a fallen branch injured one man.	暴風使此地區的多棵樹倒塌，且有傾倒的樹枝導致一人受傷。
Another person was injured by a damaged awning.	還有一人因為損壞的天篷而受傷。
In Hainan, the threat from Vongfong prompted officials to close the primary airport and to restrict sea traffic with Guangdong.	在海南，黃蜂的威脅促使官方關閉主要機場並禁止與廣東的海上交通。
As a result, 113 flights were delayed, stranding more than 3,000 people.	113 個航班因此延誤，超過 3,000 人受困。
On the island, rainfall reached as high as 240 mm (9.4 in) in Haikou over a three-day period.	在島上，為期三天的降雨在海口高達 240 毫米 (9.4 英吋)。
On 3 February, the head of the State Emergency Service (SES) and then-Premier Joh Bjelke-Petersen toured northern Queensland to inspect damage.	2 月 3 日，國家緊急服務 (SES) 和當時的總理喬·貝爾克-彼德森前往昆士蘭北部視察損害。
The government of Australia vowed to assist by providing financial and emergency services, also offering to provide aid to banana and sugar cane farmers who suffered losses as a result of Winifred.	澳洲政府誓言以提供財務和緊急服務來援助，也提議向因為溫尼佛萊德蒙受損失的香蕉和甘蔗農民提供援助。
Two government helicopters were sent shortly thereafter, assessing the severity of damage, evacuating residents, and delivering food.	之後不久便派出兩架政府直升機，以評估損害的嚴重程度、撤離居民和提供食物。
Bjelke-Petersen later expressed anger at the federal government for having increased the threshold for disaster relief before raising loans, and also stated that the Federal Minister for Primary Industry, John Kerin, had no right to accompany him on his visit to northern Queensland, only offering to discuss an offer provided that the federal government was willing to provide financial assistance.	貝爾克-彼德森之後對聯邦政府在借款之前提高災害救濟的門檻表達了憤怒，也聲明聯邦產業部部長約翰·柯瑞恩無權陪同他前往昆士蘭北部訪視，且只願意在聯邦政府願意提供財務援助的前提下討論提議。
Approximately 500 volunteers for the SES were deployed the same day, reinstating electrical and other essential services, evacuating regional citizens, delivering bread to numerous towns, and sending 700 tarpaulins to shield roofless houses.	同一天部署了約 500 位 SES 的志工，將電力和其他必要的服務復原、撤離地方居民、為多個城鎮提供麵包，以及發送 700 張防水布來遮蔽無屋頂的房屋。
Rescue and relief work was hindered by high traffic on telephone networks, forcing Telecom to cease calls between Townsville and Ingham.	救援和救濟工作因為電話網的高話務量而受到阻礙，迫使電信公司中止湯斯維爾和英厄姆之間的通話。
Emergency crews of the government's Department of Social Security (DSS) visited locations throughout the region, receiving damage claims, requests for monetary aid, and filings for unemployment benefits.	來自政府社會服務部 (DSS) 的緊急人員訪視了整個地區的各個地點，收到了損害索償、金錢援助的要求，以及失業給付的申請。
The Commonwealth pledged to provide $150 million in relief over a three-year period to the government of Queensland in exchange for deregulation; however, its offer was initially rejected.	澳洲聯邦銀行允諾向昆士蘭政府提供為期三年的 1.5 億元救濟金來交換解除管制；但是其提議一開始就遭到否決。
Planes flew claims adjusters and other officials to Innisfail, establishing an insurance emergency service in the city hall, while the Insurance Council of Queensland deployed its special emergency service employees for the first time.	飛機載著理算師及其他官員前往因尼斯費爾，在市政廳設立保險緊急服務，同時昆士蘭保險理事會則是首次部署了特殊緊急服務人員。
As a result of severe damage, a disaster declaration for northern regions was issued by Queensland Government on 4 February.	由於嚴重損害，昆士蘭政府在 2 月 4 日針對北部地區發出了一則災害聲明。
The first $10 million in aid from the state government, paid by the federal government, was supplied the same day.	來自國家政府、由聯邦政府支付的第一筆 1000 萬元援助，就在同一天提供。
Meanwhile, the SES continued its cleanup efforts, removing debris and repairing structures.	同時，SES 持續進行清理工作，清除殘骸和修復建築物。
Looters took advantage of confusion in the days following the cyclone, striking residences throughout Innisfail.	打劫者趁著氣旋發生後幾天的混亂情況，入侵了因尼斯費爾各處的住宅。
By the end of the day, 2200 tarpaulins had been distributed; however, the previously-smooth relief efforts were impeded by thunderstorms in Cairns.	當天結束時已分發 2200 張防水布；但是先前很順利的救濟工作因為凱恩斯的雷雨而受到阻礙。
The Bureau of Meteorology (BoM) was subject to scrutiny in the aftermath of Winifred, and was criticized for its lack of advance warning.	澳洲氣象局 (BoM) 理應密切監控溫尼菲爾德的後續情況，但因為未提供預警而受到批評。
Advices and warnings were received by regional television and radio stations up to 15 minutes late following issuance.	地方電視台和電台在發出預警之後長達 15 分鐘才收到建議和警示。
Winifred's sudden and unexpected turn was little-anticipated by BoM meteorologists, with employees unable to verify the cyclone's centre from the Cairns radar until only about 9:30 a.m. on 1 February, with radar error of up to 44 km (27 mi) observed.	溫尼菲爾德突如其來的轉向使 BoM 氣象學者措手不及，因為他們的人員一直到 2 月 1 日上午約 9:30 才得以透過凱恩斯雷達確認氣旋的中心，且觀察到的雷達誤差高達 44 公里 (27 英哩)。
However, a Flash Tropical Cyclone Advice was immediately issued shortly thereafter, reaching media outlets near noon that day.	但是，在那之後不久立即發出的緊急熱帶氣旋通知，將近當天中午才傳達至媒體管道。
Media outlets went suggested the creation of a new Tropical Cyclone Warning Centre (TCWC) in Townsville as a result, but the suggestion was dismissed, with a centre already established in Brisbane.	媒體管道因此開始建議在湯斯維爾建立新的熱帶氣旋警報中心 (TCWC)，但是該建議並未獲得考慮，因為布里斯本已經設立了一個中心。
