There were varying degrees of Romanization throughout Roman Dacia.	整个罗马达契亚有不同程度的罗马化。
Additionally, it has been proposed that the neuroblasts themselves play a role in modulating the astrocytes through Slit-Robo interactions.	此外，有人提出，神经母细胞本身通过 Slit-Robo 相互作用在调节星形胶质细胞方面起作用。
In the absence of Slit, astrocytic processes do not align correctly, or create the "tubes", instead running across the migrating neurons.	在没有 Slit 的情况下，星形胶质细胞过程不能正确对齐，也不能形成“管道”，而是穿过迁移的神经元。
Adult SVZ astrocytes also appear to release glutamate to regulate the survival of neuroblasts.	成体 SVZ 星形胶质细胞似乎也释放谷氨酸来调节神经母细胞的生存。
Unique to the adult SVZ, ependymal cells lining the ventricular wall are in close association with neural precursors and their progeny, acting like a shield to protect the "neurogenic niche", a zone in which stem cells are retained after embryonic development for the production of new cells of the nervous system.	成体 SVZ 的独特之处在于，心室壁内的室管膜细胞与神经前体及其后代密切相关，就像是一个保护“神经原性生态位”的盾牌，该区域的干细胞在胚胎发育后被保留下来，用于制造神经系统的新细胞。
Ependymal cells actively regulate neuronal fate specification of adult neural precursors through release of Noggin.	室管膜细胞通过释放 Noggin 积极调节成体神经前体的神经元命运规范。
Beating of the cilia of ependymal cells appears to set up concentration gradients of guidance molecules, such as cytokines TNF-α (tumor necrosis factor) and IGF-1 (insulin-like growth factor), to direct migration of neuroblasts, such as in the RMS.	室管膜细胞的纤毛跳动似乎建立了引导分子的浓度梯度，如神经因子TNF-α（肿瘤坏死因子）和 IGF-1（胰岛素样生长因子），以指导 RMS 等中的神经母细胞迁移 。
Microglia also actively regulate adult neurogenesis.	小胶质细胞也积极调节成体神经发生。
Under basal conditions, apoptotic corpses of newly generated neurons are rapidly phagocytosed from the niche by unactivated microglia in the adult SGZ.	在基础条件下，成体 SGZ 中未激活的小胶质细胞会迅速吞噬新生神经元的凋亡尸体。
Under inflammatory conditions, reactivated microglia can have both beneficial and detrimental effects on different aspects of adult neurogenesis, depending on the balance between secreted molecules with pro- and anti-inflammatory action.	在炎症条件下，重新激活的小胶质细胞可以对成体神经发生的不同方面产生有益和有害的影响，具体取决于具有促炎和抗炎作用的分泌分子的平衡。
In one study, the activation of microglia and recruitment of T cells were suggested to be required for enriched environment-induced SGZ neurogenesis, suggesting a possible role in the RMS.	在一项研究中，小胶质细胞激活和 T 细胞募集表明对丰富的环境诱导的 SGZ 神经发生必不可少，这说明在 RMS 中可能有作用。
Cells in the RMS are believed to move by "chain migration".	RMS 中的细胞被认为是通过“链式迁移”移动的。
These neuroblasts are connected by membrane specializations including gap junctions and adherens junctions, moving along each other towards the olfactory bulb through glial tubes.	这些神经母细胞通过膜特化连接，包括间隙连接和粘附连接，通过胶质管彼此朝嗅球移动。
The pathway and mechanisms behind this movement are a ventriculo-olfactory neurogenic system (VONS), a glial framework, and a chemotaxic cell signalling system.	这种运动背后的途径和机制是脑室-嗅觉神经源系统 (VONS)、胶质框架和趋化细胞信号传导系统。
The olfactory system is made up in part of the RMS which stretches from the subventricular zone in the wall of the lateral ventricle, through the basal forebrain, to the olfactory bulb (OB).	嗅觉系统部分由 RMS 组成，RMS 从侧脑室壁的脑室下区延伸到基底前脑，再到嗅球 (OB)。
VONS is the name given to this pathway, and it consists of the subventricular zone, the RMS, the olfactory tract and the olfactory bulb.	VONS 是这个通路的名称，它由脑室下区、RMS、嗅道和嗅球组成。
On January 21, 2007, the Regional Specialized Meteorological Centre in Nadi, Fiji identified a tropical depression, which was given the number 08F, about 435 km (270 mi) west-northwest of Savai'i island in Samoa.	2007 年 1 月 21 日，斐济纳迪的区域专业气象中心在萨摩亚萨瓦伊岛西北偏西约 435 公里（270 英里）处发现一个热带低气压，其编号为08F。
The depression slowly traveled towards the east-southeast for several days as the overall structure of the storm fluctuated due to diurnal variations and strong wind shear.	该气压在几天内缓慢地向东-东南方向移动，因为风暴的整体结构因昼夜变化和强风切变而波动。
Around 1700 UTC on January 22, the Joint Typhoon Warning Center (JTWC) issued a Tropical Cyclone Formation Alert for the depression.	1 月 22 日 UTC 时间 17 时左右，联合台风警报中心 (JTWC) 对该低气压发布了热带气旋形成警报。
The system developed a large banding feature in the northern portion of the circulation and deep convection formed around the center of circulation.	该系统在环流北部形成一处大型带状特征，环流中心周围形成深层对流。
The depression had moved into an area of weak to moderate wind shear with favorable diffulence aloft.	该低气压已进入一个弱到中等风切变区域，高处扩散良好。
Later that day, gale warnings were issued for the northeastern quadrant of the system.	当天晚些时候，该系统的东北部地区发布大风警报。
Tropical Depression 08F continued to develop as an anticyclone developed above the system, enhancing the environment around it.	热带低气压 08F 继续发展，因为该系统上方一个反气旋加强了它周围的环境。
A mid-latitude trough located north of the depression was steering it towards the east.	位于低气压北部的一个中纬槽将其引向东部。
Early on January 24, the system became better organized and strengthened into a cyclone at 0600 UTC.	1 月 24 日早些时候，该系统变得更有组织性，并在 UTC 时间 6 时加强成气旋。
The storm, which was named Arthur by the RSMC Nadi, began to undergo rapid intensification as the structure improved significantly.	这个被 RSMC Nadi 命名为亚瑟的风暴，随着结构明显改善而开始迅速增强。
Deep convection developed around the center with strong outflow towards the north.	中心周围形成了深层对流，向北流出强烈。
Several hours after becoming a cyclone, the JTWC issued their first advisory on Tropical Cyclone 09P as it traveled quickly towards the east-southeast.	在成为气旋后的几个小时，由于热带气旋 09P 迅速向东南方移动，JTWC 对它发布了第一个警告。
The quick movement was due to the influences of subtropical ridge to the north and a trough to the south.	这种快速移动是由于北部的副热带脊和南部的低谷影响。
Later that day, a banding eye feature began to develop as the storm intensified into a Category 2 cyclone on the Australian intensity scale.	当天晚些时候，随着风暴加强为澳大利亚强度等级为 2 类的气旋，开始形成带状眼特征。
At 1800 UTC, the JTWC assessed Arthur to have reached its peak intensity with winds of 120 km/h (75 mph 1-minute winds), the equivalent of a minimal Category 1 hurricane on the Saffir-Simpson Hurricane Scale.	在 UTC 时间 18 时，JTWC 评估亚瑟达到了它的峰值强度，风速为 120 公里/小时（1 分钟 75 英里的风速），相当于 Saffir-Simpson 飓风等级中的最小 1 类飓风。
Early on January 25, Arthur reached its peak intensity with winds of 110 km/h (70 mph 10-minute winds) with a minimum pressure of 975 hPa (mbar) while located about 635 km (350 mi) north-northwest of Rarotonga.	1 月 25 日早些时候，在 Rarotonga 西北方向约 635 公里（350 英里）处，亚瑟达到峰值强度，风速为 110 公里/小时（10 分钟 70 英里的风速），最低气压为 975 hPa (mbar)。
Shortly after peaking in intensity, Arthur began to undergo an extratropical transition and rapidly deteriorated due to strong wind shear.	在强度达到顶峰后不久，亚瑟开始经历外热带的转变，并由于强风切变而迅速恶化。
The storm also began to merge with a low-level frontal boundary associated with the remnants of Tropical Cyclone Zita.	风暴也开始与与热带气旋 Zita 残余势力有关的低层锋面边界合并。
The strong shear left the center of circulation partially exposed, with deep convection persisting in only the southeastern quadrant.	强烈的切变使得环流中心部分暴露，只有东南方向的深层对流持续存在。
In addition to the shear, dry air began to enter the system, causing it to weaken further.	除了切变之外，干燥空气开始进入系统，导致它进一步减弱。
The olm is a symbol of Slovenian natural heritage.	人鱼是斯洛文尼亚自然遗产的一种象征。
The enthusiasm of scientists and the broader public about this inhabitant of Slovenian caves is still strong 300 years after its discovery.	在它被发现的 300 年后，科学家和广大公众对斯洛文尼亚洞穴这一栖息动物的热情仍然很强烈。
Postojna Cave is one of the birthplaces of speleobiology due to the olm and other rare cave inhabitants, such as the blind cave beetle.	由于人鱼和盲螈等其他罕见的洞穴栖息动物，波斯托伊纳洞穴成为洞穴生物学的诞生地之一。
The image of the olm contributes significantly to the fame of Postojna Cave, which Slovenia successfully utilizes for the promotion of ecotourism in Postojna and other parts of Slovenian karst.	人鱼形象极大促进了波斯托伊纳洞穴的名气，斯洛文尼亚成功地利用它来促进波斯托伊纳和斯洛文尼亚其他喀斯特地区的生态旅游。
Tours of Postojna Cave also include a tour around the speleobiological station – the Proteus vivarium, showing different aspects of the cave environment.	波斯托伊纳洞穴旅游还包括参观洞穴生物学站 - Proteus 动物园，展示洞穴环境的不同方面。
The olm was also depicted on one of the Slovenian tolar coins, and was the namesake of Proteus, the oldest Slovenian popular science magazine, first published in 1933.	人鱼也被描绘在斯洛文尼亚的一枚托拉尔硬币上，并且与斯洛文尼亚最古老的科普杂志，于 1933 年首次出版的《Proteus》同名。
Heavy rains from the storm affected the Philippines, causing flooding that forced 3,500 people to evacuate their houses.	风暴带来的大雨影响了菲律宾，引发洪水，迫使 3,500 人撤离家园。
This occurred after a month of heavy rainfall from several tropical cyclones in July.	这发生在七月份几个热带气旋带来一个月的强降雨之后。
Officials closed schools and advised small boats to remain at port.	官员们关闭了学校，并建议将小型船只停泊在港口。
A vessel capsized offshore Antique Province, and its crew of 15 was rescued.	一艘船在安蒂克省近海倾覆，船上 15 名船员获救。
At least six people died due to electrocution, after downed power lines touched floodwaters.	倾倒的电线接触洪水，至少有六人因触电而死亡。
The storm spawned a tornado and caused landslides in Negros Oriental.	这场风暴在东内格罗省引发了一场龙卷风，并造成山体滑坡。
The storm killed 35 people in the country and injured 22 others.	这场风暴造成全国 35 人死亡，22 人受伤。
Damage was estimated at $3.3 million (₱172 million 2002 PHP).	损失估计为 330 万美元（2002 年 1.72 亿菲律宾比索）。
Milenyo was the final storm to be named by PAGASA during 2002.	Milenyo 是 PAGASA 命名的 2002 年最后一场风暴。
On August 17, the Hong Kong Observatory (HKO) issued standby signal number 1 due to the storm's reformation in the South China Sea.	8 月 17 日，由于该风暴在中国南海进行了重整，香港天文台 (HKO) 发出了 1 号待命信号。
Vongfong made landfall west of the territory, although its outer rainbands spread across the region.	Vongfong 在该地区西部登陆，不过它的外围雨带遍布整个地区。
Slick roads contributed to a traffic accident in Sai Kung in which one person was killed.	道路湿滑导致西贡发生一起交通事故，其中一人死亡。
Rainfall in Hong Kong reached 133 mm (5.2 in) in the town of Kwai Chung.	香港葵涌的降雨量达到 133 毫米（5.2 英寸）。
The rainbands also produced gusty winds; sustained winds peaked at 75 km/h (47 mph), with gusts to 110 km/h (68 mph) at the mountain peak of Tai Mo Shan.	雨带也产生了狂风；持续风速最高达到 75 公里/小时（47 英里/小时），大帽山山顶的阵风达到 110 公里/小时（68 英里/小时）。
While moving ashore, Vongfong produced a storm surge of 0.48 m (1.6 ft) in Shek Pik.	上岸后，Vongfong 在石壁产生了 0.48 米（1.6 英尺）的风暴潮。
The storm downed a few trees across the territory, and a fallen branch injured one man.	风暴吹倒了该地区的几棵树，一根倒下来的树枝伤到了一名男子。
Another person was injured by a damaged awning.	另一人被损坏的遮阳棚砸伤。
In Hainan, the threat from Vongfong prompted officials to close the primary airport and to restrict sea traffic with Guangdong.	在海南，来自 Vongfong 的威胁促使官员关闭主要机场，并限制与广东的海上交通。
As a result, 113 flights were delayed, stranding more than 3,000 people.	结果，113 个航班延误，3,000 多人被困。
On the island, rainfall reached as high as 240 mm (9.4 in) in Haikou over a three-day period.	在岛上，海口三天内的教育量高达 240 毫米（9.4 英寸）。
On 3 February, the head of the State Emergency Service (SES) and then-Premier Joh Bjelke-Petersen toured northern Queensland to inspect damage.	2 月 3 日，州紧急服务处 (SES) 处长和时任总理 Joh Bjelke-Petersen 巡视昆士兰北部检查受损情况。
The government of Australia vowed to assist by providing financial and emergency services, also offering to provide aid to banana and sugar cane farmers who suffered losses as a result of Winifred.	澳大利亚政府立誓要通过提供财政和紧急服务来予以协助，还提出要向因 Winifred 而遭受损失的香蕉和甘蔗种植者提供援助。
Two government helicopters were sent shortly thereafter, assessing the severity of damage, evacuating residents, and delivering food.	此后不久派出了两架政府直升机，评估损失严重程度，疏散居民，并运送食物。
Bjelke-Petersen later expressed anger at the federal government for having increased the threshold for disaster relief before raising loans, and also stated that the Federal Minister for Primary Industry, John Kerin, had no right to accompany him on his visit to northern Queensland, only offering to discuss an offer provided that the federal government was willing to provide financial assistance.	Bjelke-Petersen 后来对联邦政府在筹款前提高救灾门槛表示愤怒，还表示联邦初级产业部长 John Kerin 无权陪同他访问昆士兰北部，只提出讨论提议，前提是联邦政府愿意提供财政援助。
Approximately 500 volunteers for the SES were deployed the same day, reinstating electrical and other essential services, evacuating regional citizens, delivering bread to numerous towns, and sending 700 tarpaulins to shield roofless houses.	同一天出动了大约 500 名 SES 志愿者，恢复了电力和其他基本服务，疏散了当地民众，向许多城镇运送面包，并送去了 700 张防水油布用以遮挡没有屋顶的房屋。
Rescue and relief work was hindered by high traffic on telephone networks, forcing Telecom to cease calls between Townsville and Ingham.	电话网络的流量高企阻碍了抢险救灾工作，迫使电信公司停止了汤斯维尔和英厄姆之间的通信。
Emergency crews of the government's Department of Social Security (DSS) visited locations throughout the region, receiving damage claims, requests for monetary aid, and filings for unemployment benefits.	政府社会保障部 (DSS) 的应急人员访问了整个地区的各个地点，接受损失索赔、经济援助请求和失业福利申请。
The Commonwealth pledged to provide $150 million in relief over a three-year period to the government of Queensland in exchange for deregulation; however, its offer was initially rejected.	联邦承诺在三年内向昆士兰政府提供 1.5 亿美元救济，以换取解除管制；不过，其提议最初遭到拒绝。
Planes flew claims adjusters and other officials to Innisfail, establishing an insurance emergency service in the city hall, while the Insurance Council of Queensland deployed its special emergency service employees for the first time.	理赔人员和其他官员飞往 Innisfail，在市政厅建立了保险应急服务，同时昆士兰保险委员会首次部署了特别应急服务员工。
As a result of severe damage, a disaster declaration for northern regions was issued by Queensland Government on 4 February.	由于损坏严重，昆士兰政府于 2 月 4 日发布了北部地区灾难声明。
The first $10 million in aid from the state government, paid by the federal government, was supplied the same day.	由联邦政府支付的州政府第一笔 1000 万美元的援助款，也在同一天提供。
Meanwhile, the SES continued its cleanup efforts, removing debris and repairing structures.	同时，SES 继续进行清理工作，清除残骸并修复结构。
Looters took advantage of confusion in the days following the cyclone, striking residences throughout Innisfail.	在气旋过后的几天里，掠夺者利用混乱局面袭击了整个 Innisfail 的住宅。
By the end of the day, 2200 tarpaulins had been distributed; however, the previously-smooth relief efforts were impeded by thunderstorms in Cairns.	到当天结束时，分发了 2200 张防水油布；然而，先前顺利的救援工作因 Cairns 的雷暴而受阻。
The Bureau of Meteorology (BoM) was subject to scrutiny in the aftermath of Winifred, and was criticized for its lack of advance warning.	在发生 Winifred 之后气象局 (BoM) 受到审查，并因其缺乏预警而受到批评。
Advices and warnings were received by regional television and radio stations up to 15 minutes late following issuance.	直到发布后 15 分钟，地区电视台和广播电台才收到通知和警告。
Winifred's sudden and unexpected turn was little-anticipated by BoM meteorologists, with employees unable to verify the cyclone's centre from the Cairns radar until only about 9:30 a.m. on 1 February, with radar error of up to 44 km (27 mi) observed.	Winifred 出现出乎意料的突然转变，让 BoM 的气象学家始料未及，直到 2 月 1 日上午 9:30，员工才从 Cairns 的雷达上确认气旋中心，并观察到雷达误差高达 44 公里（27 英里）。
However, a Flash Tropical Cyclone Advice was immediately issued shortly thereafter, reaching media outlets near noon that day.	然而，此后不久就立即发布了闪电热带气旋通知，在当天中午时分透露给媒体。
Media outlets went suggested the creation of a new Tropical Cyclone Warning Centre (TCWC) in Townsville as a result, but the suggestion was dismissed, with a centre already established in Brisbane.	媒体建议在汤斯维尔建立新的热带气旋预警中心 (TCWC)，但这个建议被驳回，因为布里斯班已建立一处中心。
A spokesman for the SES stated that no warning was given by the BoM at 9 a.m., with the storm's alarming approach; the Service had initially been anticipating the storm's recurvature out to sea, only to receive a flash warning hours later.	SES 的一位发言人表示，上午 9 时风暴令人震惊的逼近，但 BoM 没有发出任何警告；服务局最初预计风暴会再次卷入大海，几小时后才受到闪光警告。
Rowan Kaiser of The A.V. Club gave a positive review, praising the intersecting storylines and the references to the previous season.	A.V. 俱乐部的 Rowan Kaiser 给出了正面评论，赞扬了交叉的故事情节和对上一季的提及。
"More generally, [the plot lines] show that Veronica Mars has created a strong enough world that it can support much higher levels.	“更广泛地说，[这些情节线]表明 Veronica Mars 已经创造了一个足够强大到可以支持更高水平的世界。
I have been, and still somewhat am, dubious about the pace at which this season is moving.	我一直并且仍然有些怀疑本季的推进速度。
But this was a great episode, even with all its density and the fact that it was essentially all setup.	但即使它的密度很大，而且基本上都是设定好的，但这一集很不错。
And it was great because it was attached to the history of the show so far." Television Without Pity gave the episode an "A".	之所以不错，是因为它与这个节目迄今为止的历史相联系。”Television Without Pity 给这一集的评级是“A”。
Price Peterson, writing for TV.com, wrote in his episode verdict that "This episode was great, if way more grim than usual.	为 TV.com 撰稿的 Price Peterson 在他的剧集评论中写道：“尽管比平时更阴森，但这一集很不错。
Between Abel's offscreen cancer death to Amelia's icy resting place…there was a real whiff of death in this episode." Complex ranked Kim Stolz's cameo on its list of "the 25 worst cameos in TV history." BuzzFeed ranked the episode forty-fifth on its list of the best Veronica Mars episodes, criticizing the Clarence Wiedman plot while writing that "we get to see some prime banter between Logan and Cliff, two of the show’s funniest characters."	从 Abel 画外死于癌症到 Amelia 冰冷的安息之所......这一集弥漫着浓烈的死亡气息。”Complex 将 Kim Stolz 的客串列入“电视史上 25 个最糟糕的客串”榜单。BuzzFeed 将这一集列为《美眉校探》最佳剧集名单的第 45 位，批评了 Clarence Wiedman 的情节，同时写道：“我们看到 Logan 和 Cliff 之间妙趣横生，这是剧中最有趣的两个角色。”
The peoples known to us as the Angles, Saxons, Jutes and Frisians, began to arrive in Britain in the 5th century.	我们所知的盎格鲁人、撒克逊人、朱特人和弗里斯兰人，在 5 世纪开始来到不列颠。
By 600, a number of kingdoms had begun to form in southern and eastern Britain, and by the beginning of the seventh century, southern England was almost entirely under their control.	到 600 年，不列颠南部和东部开始形成一些王国，到七世纪初，英格兰南部几乎完全在他们的控制之下。
Tytila was a member of the Wuffingas family, the ruling dynasty of the Kingdom of the East Angles that was named after his father Wuffa.	Tytila 是 Wuffingas 家族的成员，该家族是以其父亲 Wuffa 的名字命名的东盎格鲁王国的统治王朝。
The Wuffingas may have been descendants of an earlier Scandinavian dynasty.	Wuffingas 可能是早期斯堪的纳维亚王朝的后裔。
Both he and his father are semi-historical figures.	他和他父亲都是半历史性的人物。
The Victorian ethnologist John Beddoe noted the similarity between the name Tytila and that of Totila, an Ostrogoth king.	维多利亚时代的民族学家 John Beddoe 注意到 Tytila 这个名字与 Ostrogoth 国王 Totila 的很相似。
Tytila is included in a number of different tallies.	Tytila 记载在许多不同的符木中。
The 9th century Welsh monk Nennius, in his Historia Brittonum, also lists Tytila, naming him as the father of Eni of East Anglia: '...Uffa, who begat Tytillus, who begat Eni,...' whilst relating the origin of the kings of East Anglia.	9 世纪的威尔士僧侣 Nennius 在他的《英国历史》中也记载了 Tytila，称他是 Eni of East Anglia 之父：‘...Uffa 生了 Tytillus，Tytillus 生了 Eni，...’，同时介绍了东盎格利亚国王的起源。
Tytila is included in an East Anglian royal tally that lists the ancestors of Ælfwald and that names many, but not all, of the early East Anglian kings.	Tytila 记载在东盎格利亚王室符木中，其中列出了 Ælfwald 的祖先，也列出了许多但不是所有早期东盎格利亚国王的名字。
The tally, which forms part of the Anglian collection, comes from the 12th century Textus Roffensis.	该符木是盎格利亚收藏的一部分，来自 12 世纪的《罗切斯特年鉴》。
In October 2016, Marvel confirmed that main cast members Clark Gregg as Phil Coulson, Ming-Na Wen as Melinda May, Chloe Bennet as Daisy Johnson / Quake, Iain De Caestecker as Leo Fitz, Elizabeth Henstridge as Jemma Simmons, Henry Simmons as Alphonso "Mack" MacKenzie, and John Hannah as Holden Radcliffe would be starring in the episode.	2016 年 10 月，漫威确认这一集中的主演克拉克格雷格饰演 Phil Coulson，温明娜饰演 Melinda May，汪可盈饰演 Daisy Johnson / Quake，伊恩德卡斯泰克饰演 Leo Fitz，伊丽莎白韩斯翠奇饰演 Jemma Simmons，亨利西蒙斯饰演 Alphonso “Mack” MacKenzie，约翰汉纳饰演 Holden Radcliffe。
Also revealed was the guest cast for the episode, including Jason O'Mara as Director Jeffrey Mace, Gabriel Luna as Robbie Reyes, Parminder Nagra as Senator Nadeer, Maximilian Osinski as Agent Davis, Patrick Cavanaugh as Burrows, Jose Zuniga as Eli Morrow, Kerr Smith as Joseph Bauer, James Edson as Warden Green, Ricardo Walker as Agent Prince, Sky Soleil as corrections officer, Rolando Molina as Santino, Brandon Keener as Harlan, Jermaine Jacox as ferocious watchdog, Lilli Birdsell as Lucy Bauer, Ward Roberts as Hugo, Usman Ally as Vincent and Devin Barry as producer.	另外还透露了这一集的客串阵容，包括 Jason O'Mara 饰演 Jeffrey Mace 局长，Gabriel Luna 饰演 Robbie Reyes，Parminder Nagra 饰演 Senator Nadeer，Maximilian Osinski 饰演 Agent Davis，Patrick Cavanaugh 饰演 Burrows，Jose Zuniga 饰演 Eli Morrow，Kerr Smith 饰演 Joseph Bauer，James Edson 饰演 Warden Green，Ricardo Walker 饰演 Agent Prince，Sky Soleil 饰演惩戒官，Rolando Molina 饰演 Santino，Brandon Keener 饰演 Harlan，Jermaine Jacox 饰演凶猛的看门狗，Lilli Birdsell 饰演 Lucy Bauer，Ward Roberts 饰演 Hugo， Usman Ally 饰演 Vincent，制片人为 Devin Barry。
O'Mara, Luna, Nagra, Osinski, Cavanaugh, Zuniga, Smith, Walker, Birdsell, Roberts, and Ally reprise their roles from earlier in the series.	O'Mara、Luna, Nagra、Osinski、Cavanaugh、Zuniga、Smith、Walker、Birdsell、Roberts 和 Ally 重新扮演他们在该系列早期的角色。
George Stephanopolous also appears in the episode, as himself.	George Stephanopolous 也以自己的身份在这一集中亮相。
The episode's prison setting was realized with a mixture of location filming at a real prison, and constructed sets.	该集的监狱环境是在真实的监狱中进行外景拍摄和搭建场景来混合实现的。
The first scene shot for the episode was the heart-to-heart between Johnson and May.	这一集拍摄的第一场戏是 Johnson 和 May 之间推心置腹的对话。
As big fans of Stephen King, the writers had the character Santino read a Spanish version of King's book Pet Sematary while in his jail cell.	作为斯蒂芬金的忠实粉丝，编剧让 Santino 这个角色在牢房里阅读金的西班牙语版《宠物坟场》。
For the prop of the Darkhold, introduced in this episode, Lilla suggested that the book's cover should feature the word "Darkhold" as an ambigram, with the series' props department designing a new font to achieve this.	对于这一集中介绍的《黑暗神书》道具，Lilla 建议书的封面上应当将“黑暗神书”一词作为对称字，为此剧组的道具部门设计了一种新字体。
The prop department had two weeks to create the book before it was needed for filming the episode, with the final book assembled by a bookbinder using aged, vellum pages that were filled with text and illustrations inspired by Leonardo DaVinci's Vitruvian Man.	在这一集开拍前，道具部门有两周时间制作这本书，最后的书由装订工用陈旧的牛皮纸页组装而成，里面的文字和插图的灵感来自达芬奇的 《维特鲁威人》。
The episode reveals that Mace became a public hero after the bombing of a United Nations meeting in Vienna, an event depicted in Captain America: Civil War.	这一集中透露，Mace 在维也纳的一次联合国会议遭到轰炸后成为公众英雄，《美国队长：内战》中描述了这一件事。
Mace was one of the many diplomats at the meeting, and was photographed saving another's life.	Mace 是众多出席会议的外交官之一，被拍到救了另一人的命。
However, the episode does indicate that Mace may not be telling the truth about this.	然而，这一集表明 Mace 在这一点上可能没有说实话。
"Lockup" was first aired in the United States on ABC on October 25, 2016.	《牢狱之灾》于 2016 年 10 月 25 日在美国 ABC 首播。
It began streaming on Netflix, along with the rest of the fourth season, on June 15, 2017.	2017 年 6 月 15 日，它连同第四季的其余部分一起开始在 Netflix 播放。
In the United States the episode received a 0.8/3 percent share among adults between the ages of 18 and 49, meaning that it was seen by 0.8 percent of all households, and 3 percent of all of those watching television at the time of the broadcast.	在美国，这一集在 18 至 49 岁的成年人中获得了 0.8/3% 的收视率，这意味着播出时有 0.8% 的家庭和 3% 的人在收看。
It was watched by 2.30 million viewers.	230 万观众观看了它。
Within a week of its release, "Lockup" had been watched by 4.55 million U.S. viewers, just above the season average of 4.22 million.	上映一周内，有 455 万美国观众观看了《牢狱之灾》，略高于本季 422 万的平均水平。
Writing for The A.V. Club, Alex McCown-Levy graded the episode a 'B+', calling it "a fast-moving and fun adventure, the kind of race-against-time scenario that remains the series’ strong suit [which] played to the show’s strengths on numerous levels".	在为 A.V. 俱乐部撰写的文章中，Alex McCown-Levy 给这一集打出了“B+”的分数，称其为“一段快节奏的有趣冒险，与时间赛跑的场景仍是该系列的强项，[它]在许多方面发挥了该剧的优势。”
He highlighted Johnson's fight against the prisoners, and Woods' direction of that scene, as well as the heart-to-heart between Johnson and May.	他强调了 Johnson 与囚犯的斗争，以及 Woods 对该场景的指导，还有 Johnson 和 May 之间的惺惺相惜。
McCown-Levy also felt "the show is having the most narratively efficient season yet, effectively balancing mission-of-the-week adventures with the longer plots", but was critical of Lucy and the low stokes of the villains.	McCown-Levy 还认为，“该剧是迄今为止叙事效率最高的一季，有效地平衡了每周冒险任务和较长的情节”，但他对 Lucy 和反派的低调持批评态度。
Most of the skeleton is preserved, the bones still attached to each other in their original anatomical position.	大部分骨架保留了下来，骨头仍然按照原来的解剖位置彼此连接。
The tail, hind feet, and hind portion of the pelvis had eroded away before the mummy was discovered.	在木乃伊被发现之前，尾巴、后脚和骨盆的后部已经腐蚀。
Fossils often become flattened during fossilization, but AMNH 5060 is preserved three-dimensionally, without significant deformation.	化石在化石化过程中往往会变平，但 AMNH 5060 进行了三维保存，没有明显变形。
The specimen was found lying on its back, with head and neck twisted upwards, backwards, and to the right side of the body.	该标本被发现时呈仰卧，头和脖子向上、向后，扭向身体右侧。
Both knees are drawn forwards, while the forelimbs are outstretched.	双膝前拉，前肢伸出。
Although the tail curves upwards and forwards over the body in many dinosaur skeletons, it was probably straight in the mummy as movement would have been restricted by ossified tendons.	在许多恐龙骨架中，虽然尾巴向上和向前弯曲，但在这具木乃伊中它可能是笔直的，因为活动会受到骨化肌腱的限制。
Almost two-thirds of the total skin area is preserved, often with excellent preservation.	几乎三分之二的皮肤总面积得以保存，通常保存完好。
The skin impressions are pressed tightly onto the bones, and are partially drawn into the body in between the bones.	皮肤印痕紧压在骨头上，部分被拉到骨头之间的身体里。
When discovered, skin impressions probably encased the whole skeleton, but were partially destroyed while freeing it from the surrounding rocks.	在被发现时，皮肤印痕可能包裹了整个骨架，但在从周围的岩石中挖出时遭到部分破坏。
Skin impressions are preserved on the forelimbs, neck and throat, and the chest, as well as on the right side of the trunk.	前肢、颈部和喉咙、胸部以及躯干右侧保留了皮肤印痕。
As well as the skin impressions, Sternberg noted the preservation of muscle impressions.	除了皮肤印痕，Sternberg 还注意到保存的肌肉印痕。
In 2007, paleontologist Kenneth Carpenter suggested that even impressions of inner organs are possibly preserved; this cannot be evaluated without detailed computer tomography and x-ray analyses.	2007 年，古生物学家 Kenneth Carpenter 提出，即便内脏器官印痕也可能保存下来；如果没有详细的计算机断层扫描和 x 射线分析，就无法对其进行评估。
The skin was thin and delicate in relation to the size of the animal.	与动物的体型相比，皮肤又薄又脆弱。
As typical for dinosaurs, the skin consisted of non-overlapping scales called tubercles.	对于恐龙，皮肤通常由称为结节的非重叠鳞片组成。
Two sorts of tubercles can be distinguished.	可以区分两种结节。
Evenly distributed on the skin were the "ground tubercles", which were small, rounded scales between 1 and 3 mm (0.039 and 0.118 in) in diameter.	均匀分布在皮肤上的是“基底结节”，它们是直径 1 到 3 毫米（0.039 到 0.118 英寸）之间的圆形小鳞片。
The larger "pavement tubercles", less than 5 mm (0.20 in) in diameter, were pentagonal in shape, raised relative to the ground tubercles, and arranged in irregular clusters interrupting the surface formed by the lower ground tubercles.	较大的“铺面结节”直径小于 5 毫米（0.20 英寸），呈五边形，相对于基底结节呈凸起状，并以不规则的簇状排列，阻断了下部基底结节形成的表面。
These clusters consisted of between twenty and several hundred individual pavement tubercles, and were bordered by intermediate tubercles which mediated in size and shape between ground and pavement tubercles.	这些簇由 20 到几百个单独的铺面结节组成，以中间结节为界，其大小和形状介于基底结节和铺面结节之间。
In the chest and abdominal region, clusters were small, oval in shape and arranged in irregular longitudinal lines.	胸部和腹部区域的簇很小，呈椭圆形并排列成不规则的纵向线。
