There were varying degrees of Romanization throughout Roman Dacia.	Havia vários graus de romanização na Dácia Romana.
This account attests to the persistence of the name "Acra" in this part of Jerusalem many years after Hellenistic rule ended and its citadels had been overthrown, and it can also be seen as referring not to a distinct building but rather to an entire region of the city.	Este relato confirma a persistência do nome "Acra" nesta parte de Jerusalém muitos anos depois do fim do governo helenístico e das suas cidadelas terem sido derrubadas, e também pode ser visto como referindo-se não a um edifício distinto, mas sim a uma região inteira da cidade.
Indeed, several clauses in 1 Maccabees may be read as making a similar point:	Na verdade, vários parágrafos do I Macabeus podem ser interpretados de forma semelhante:
The "Right Action" official video was released on 7 July 2013, directed by Jonas Odell, and the video for "Love Illumination" was released on 24 July 2013, directed by Tim Saccenti.	O vídeo oficial de "Right Action" foi lançado a dia 7 de julho de 2013, realizado por Jonas Odell, e o vídeo "Love Illumination" foi lançado a dia 24 de julho de 2013, dirigido por Tim Saccenti.
On YouTube, the "Right Action" music video has received over 3 million views and the "Love Illumination" music video has received over 4 million views.	O videoclipe "Right Action" teve mais de 3 milhões de visualizações no YouTube e o videoclipe "Love Illumination" obteve mais de 4 milhões de visualizações.
The "Evil Eye" official music video was released on 8 September 2013 and was directed by Diane Martel, who is known for directing videos for various Top 3 hits such as "Blurred Lines", "Just Give Me a Reason", "We Can't Stop", and one of the bands' hit singles, "Do You Want To".	O videoclipe oficial de "Evil Eye" foi lançado a 8 de setembro de 2013 e foi dirigido por Diane Martel, conhecida pela produção de vídeos de vários sucessos que atingiram o Top 3, tais como "Blurred Lines", "Just Give Me a Reason", "We Can't Stop", e de um dos sucessos da banda, "Do You Want To".
The band released the official video for "Bullet" on 18 November 2013 and was directed by Andy Knowles.	O grupo lançou o videoclipe oficial da "Bullet" em 18 de novembro de 2013 que foi dirigido por Andy Knowles.
The official music video for "Fresh Strawberries" was released on 12 March 2014 and was directed by Margarita Louca.	O videoclipe oficial da "Fresh Strawberries" foi lançado em 12 de março de 2014 e foi dirigido por Margarita Louca.
The official music video for "Stand on the Horizon" was released on 3 August 2014 and was directed by Karan Kandhari.	O videoclipe oficial da "Stand on the Horizon" foi lançado em 3 de agosto de 2014 e foi dirigido por Karan Kandhari.
On 20 August 2013, the band played at Electric Brixton in London, for a crowd of approximately 1,500 fans.	A 20 de agosto de 2013, a banda atuou no Electric Brixton, em Londres, para um público com, aproximadamente, 1500 fãs.
The opening song was "Right Action" and the concert featured several songs of the new album.	A música de abertura foi a "Right Action" e o concerto incluiu várias canções do novo álbum.
A concert in Glasgow followed on 21 August 2013.	Seguiu-se um concerto em Glasgow, a 21 de agosto de 2013.
The band went on a world tour until the near end of 2014, performing both regular shows as well as concerts at several music festivals.	A banda partiu em digressão mundial que durou até quase ao final de 2014, atuando em espetáculos normais, assim como em vários festivais de música.
The property has two remaining outbuildings.	Restaram dois anexos na propriedade.
The barn is where Glidden invented his famous improvement on barbed wire.	O celeiro é o local onde Glidden inventou a sua famosa melhoria do arame farpado.
Dubbed "The Winner," his barbed wire became the most popular version of the invention.	Denominado de "O Vencedor", a sua versão de arame farpado tornou-se a versão mais popular desta invenção.
Barbed wire is considered to be one of the most important factors in American progress and settlement.	O arame farpado é considerado como um dos fatores mais importantes no progresso e no estabelecimento dos americanos.
The other outbuilding on the property along historic Lincoln Highway are the remnants of a once dominating windmill.	O outro anexo que existe na propriedade ao longo da histórica Lincoln Highway consiste nos vestígios do que foi outrora um dominante moinho.
Though only the foundation remains, it gives a glimpse of how impressive the structure must have once been.	Apesar de só restarem as fundações, oferece um vislumbre do quão magnífica a estrutura terá sido.
The Glidden Barn, located to the rear and east of the home, was thought to have been added to the National Register of Historic Places when the original nomination for the house was approved in 1973. However, in the late 1990s, the Illinois Historic Preservation Agency revealed that the nomination included only the house.	Acreditava-se que o Glidden Barn, localizado na retaguarda e a este da casa, teria sido adicionado ao Registo Nacional de Locais Históricos na mesma altura em que a nomeação original da casa foi aprovada em 1973. No entanto, em finais de 1990, a Historic Preservation Agency revelou que a nomeação incluía apenas a casa.
The Glidden Historical Center initiated the process of adding the barn to the Register.	O Glidden Historical Center iniciou, então, o processo de acrescentar o celeiro ao registo existente.
Those moves were approved by the Illinois Historic Sites Advisory Council in 2002 and the barn officially became part of the National Register.	Estas alterações foram aprovadas pelo Illionois Historic Sites Advisory Coucil em 2002 e o celeiro passou, oficialmente, a fazer parte do registo nacional.
The barn was built sometime around 1871, possibly even before, and is constructed of the same soft brick that makes up the exterior of the home.	O celeiro foi construído por volta de 1871, talvez até antes, e a sua construção inclui o mesmo tipo de tijolo macio que existe no exterior da casa.
Tradition in the Glidden family holds that the barn, like the house itself, was designed and built by prominent local carpenter Jacob Haish.	Os relatos da família Glidden afirmam que o celeiro, tal como a casa, foi concebido e construído pelo importante carpinteiro local Jacob Haish.
The famous barn, one of DeKalb County's oldest remaining, stands a full two-stories high, measuring around 50 feet (15 m) tall, with a width of 30 feet (9 m).	O famoso celeiro, uma das mais antigas ruínas do condado de DeKalb, possui dois andares que ocupam uma altura de 50 pés (15 m) e uma largura de 30 pés (9 m).
In February 2007 the Glidden Homestead and Historical Center kicked off a fundraising drive.	Em fevereiro de 2007, o Glidden Homestead and Historical Center iniciou uma campanha de angariação de fundos.
The drive is aimed at raising US$2 million to expand the Joseph F. Glidden House site to include museum space and a media center.	Esta campanha tinha como objetivo angariar 2 milhões de dólares para possibilitar a expansão da localização da Glidden House de forma a incluir um espaço de museu e um centro multimédia.
Some of the funds will be used to help restore the barn and expand historical center museum space into the building.	Uma parte dos fundos será utilizada para ajudar na recuperação do celeiro e para acrescentar espaço no museu do centro histórico ao edifício.
The Glidden barn is of pole and beam construction.	O celeiro de Glidden é uma construção em postes e vigas.
The second-floor interior is dominated by two large transverse wooden beams.	O interior do segundo andar é dominado por duas vigas de madeira transversais.
It is of the three-bay, English tradition, the west bay containing a space for a stairwell leading to a hayloft and seven stalls.	É resultante da tradição inglesa de três compartimentos, sendo que o compartimento a oeste inclui um espaço para uma escadaria que leva a um palheiro e a sete estábulos.
It is constructed of red brick and stands on a foundation of limestone.	É construída em tijolos vermelhos e está assente numa base de pedra calcária.
Glidden's barn took full advantage of the term vernacular; the brick was locally manufactured and the limestone locally quarried.	O celeiro de Glidden é a representação do termo vernáculo: os tijolos foram fabricados localmente e a pedra calcária retirada das minas da região.
After touring with Something Corporate in January and February 2005, McMahon began playing shows with Jack's Mannequin in March and debuted material from the project.	Depois de ter feito uma tournée com os Something Corporate em janeiro e fevereiro de 2005, McMahon começou a tocar em espetáculos com os Jack's Mannequin em março e estreou material do projeto.
McMahon's backing band, named the Mannequins, consisted of Anderson and Jacques Brautbar on guitar, Jon Sullivan on bass and Jay McMillan on drums.	A banda de apoio de McMahon, denominada Mannequins, era constituída por Anderson e Jacques Brautbar na guitarra, Jon Sullivan no baixo e Jay McMillan na bateria.
Anderson studied music with Sullivan at Virginia Commonwealth University; Sullivan had been friends with McMillan for a few years.	Anderson estudou música com Sullivan na Virginia Commonwealth University. Sullivan e McMillan já eram amigos há alguns anos.
On April 17, Jack's Mannequin's debut album was announced for release in the coming summer through Maverick Records.	A 17 de abril, foi anunciado o lançamento do álbum de estreia dos Jack's Mannequin no verão seguinte, através da Maverick Records.
Another announcement followed four days later, revealing the album's title, Everything in Transit, and the release date of July 12.	Quatro dias mais tarde foi feito um novo comunicado que revelava o nome do álbum, Everything in Transit, assim como a data de lançamento, dia 12 de julho.
In May, the group embarked on a six-week tour to build up hype for the album.	Em maio, o grupo iniciou uma tournée de seis semanas para publicitar o lançamento do álbum.
On May 10, "Holiday from Real" was released as a 7" vinyl single, featuring two versions of "Kill the Messenger" (the album version and an acoustic version) as B-sides.	A dia 10 de maio, foi lançado o single "Holiday from Real" em formato vinil de 7", que incluía duas versões da "Kill the Messenger" (a versão do álbum e uma versão acústica) no lado B.
On May 20, two songs were made available for streaming through the band's Myspace account.	A 20 de maio, foram disponibilizadas duas músicas em streaming através da conta Myspace da banda.
Two days later, it was announced the album's release date was pushed back to August 9 as "Dark Blue" was written and recorded for inclusion on it.	Dois dias mais tarde, foi anunciado que a data de lançamento do álbum seria para mais tarde, dia 9 de agosto, já que a banda escreveu e gravou "Dark Blue", música que seria incluída no álbum.
Around this time, McMahon started feeling sick while on tour, suffering from chronic fatigue and laryngitis.	Por esta altura, McMahon começou a adoecer enquanto estava em tournée, sendo afetado por fadiga crónica e laringite.
On May 25, he contacted his doctor, who said he should cancel the following night's show as he could face permanent damage to his voice.	A dia 25 de maio, este contactou o seu médico que lhe disse para cancelar o espetáculo da noite seguinte, já que poderia vir a sofrer danos permanentes na voz.
He met with his doctor who ran some blood tests after seeing McMahon's pale complexion.	Teve uma consulta com o médico que lhe fez algumas análises ao sangue depois de ter visto o aspeto pálido de McMahon.
Two days later, during a mastering session for the album, McMahon received a phone call.	Dois dias mais tarde, durante uma sessão de masterização do álbum, McMahon recebeu uma chamada.
His doctor said he needed a blood transfusion.	O seu médico informou-o de que precisava receber uma transfusão sanguínea.
He checked in to the Presbyterian Hospital in New York City, where he was sent directly to the leukemia ward.	Deu entrada no Hospital Presbiteriano de Nova Iorque, onde foi encaminhado diretamente para a ala de doentes com leucemia.
McMahon spent the next few days waiting for the results of a bone marrow sample taken from his hip.	McMahon passou os dias seguintes a aguardar pelos resultados de uma amostra de medula óssea retirada da sua anca.
On June 1, he was diagnosed with acute lymphoblastic leukemia.	A dia 1 de junho foi diagnosticado com leucemia linfocítica aguda.
All upcoming tour dates with both Jack's Mannequin and Something Corporate were postponed indefinitely.	Todas as datas de espetáculos posteriores com os Jack's Mannequinn e os Something Corporate foram adiadas indefinidamente.
He flew to Los Angeles and was admitted to the UCLA Medical Center and underwent a first round of chemotherapy.	Apanhou um avião para Los Angeles e deu entrada no UCLA Medical Center onde foi submetido a uma primeira sessão de quimioterapia.
As he was at an unusual age to get cancer, there was a debate whether to put him on an adult regimen or a vigorous pediatric treatment.	Como na sua idade não era comum o diagnóstico de cancro, isto originou um debate sobre se havia de ser alocado a um regime para adultos ou submetido a um forte tratamento pediátrico.
Director Anthony Mandler filmed the music video for "Only Girl (In the World)" at a location two hours from Los Angeles.	O realizador Anthony Mandler filmou o videoclipe da música "Only Girl (In the World)" num local a duas horas de Los Angeles.
Rihanna told JustJared.com that the video was filmed in a "big landscape" so she was the only person in the frame, echoing the song's title.	A Rihanna contou à JustJared.com que o vídeo foi filmado numa "ampla paisagem" para que ela fosse a única pessoa a aparecer no enquadramento, de forma a enfatizar o título da canção.
The singer is also "frolicking in a red field and lying in a bed of flowers." The video features large balloons in different colours, a swing hanging from the sky and a tree with multi-colored lights.	A cantora também surge "a brincar num campo vermelho e deitada numa cama de flores". O vídeo inclui grandes balões de várias cores, um baloiço que cai do céu e uma árvore com luzes multicolor.
Rihanna's outfits include a mohair sweater, a floral miniskirt and a white-bra-and-boyshorts two-piece.	As roupas de Rihanna incluem uma camisola em angorá, uma minissaia floral e a um conjunto de duas peças composto por um soutien branco e uns boxers.
Entertainment Weekly writer Tanner Stransky praised the video's simplicity, noting that it seems "as if Rihanna is speaking directly to you, the viewer, and she is your one and only amid swallowing rolling, beautiful, swallowing landscapes.	Tanner Stransky, escritora do Entertainment Weekly, elogiou a simplicidade do vídeo, referindo que parece que "a Rihanna está a falar diretamente para nós, os espectadores, já que ela é unicamente nossa enquanto rebola em lindas e envolventes paisagens.
It's an effect that makes you focus squarely on [Rihanna], who's ensconced in flirty outfits." According to Joyce Lee of CBS, Rihanna appeared to have progressed from the "edgy" music videos of the Rated R singles to a more feminine, colourful tone.	É um efeito que nos faz focar apenas nela [Rihanna], que aparece envolvida em roupas sedutoras." De acordo com Joyce Lee da CBS, a Rihanna parece ter evoluído dos videoclipes "ousados" dos singles para adultos para um tom mais feminino e colorido.
A Mail Online reviewer and Seth Sommerfield of Spin echoed Lee's comments, with the former calling it "beautifully shot" and the latter "whimsical [and] beautiful".	Um crítico da Mail Online, tal como Seth Sommerfield da Spin, concordaram com os comentários de Lee, sendo que este último caracterizou o videoclipe como uma "bela filmagem" e o primeiro como "extravagante [e] bonito".
The Mail Online reviewer called the video a departure from the "hard-edged, heavier image" music videos of Rated R.	O crítico da Mail Online caracterizou o vídeo como um distanciamento da "imagem demarcada e pesada" dos videoclipes para adultos.
Billboard reviewer Jason Lipshutz described the tree with flashing lights as "surreal imagery."	O crítico da Billboard Jason Lipshutz descreveu a árvore com as luzes a piscar como "imagens surreais."
Rihanna performed "Only Girl (In the World)" and a solo version of "What's My Name?" on Saturday Night Live in New York City on October 30, 2010.	Rihanna interpretou "Only Girl (In the World)" e uma versão a solo de "What's My Name?" no programa Saturday Night Live em Nova Iorque a 30 de outubro de 2010.
The next day, she flew to London to perform the song on The X Factor.	No dia seguinte, voou até Londres para interpretar a canção no programa Factor X.
Rihanna's dancers had a food fight with cakes and cream while she sang, and the show's producers had only one minute to clear the stage before the weekly elimination results were announced.	Os bailarinos da Rihanna fizeram uma luta de comida com bolos e creme enquanto ela cantava e os produtores do programa tiveram apenas um minuto para limpar o palco antes dos resultados das eliminações da semana serem divulgados.
On November 7 she performed the song at the MTV Europe Music Awards in Madrid, wearing a "fairy tale"-inspired ensemble and walking through a set of flowers against a sunset.	A 7 de novembro interpretou a canção nos MTV Europe Music Awards em Madrid, vestida com um conjunto inspirado nos "contos de fadas" enquanto caminhava num cenário de flores e do pôr do sol.
Two days later, Rihanna sang "Only Girl (In the World)" on the Italian version of The X Factor in a floral-print bikini, boots and a red pigtail.	Dois dias mais tarde, Rihanna cantou "Only Girl (In the World)" na versão italiana do Factor X usando um biquíni com padrão floral, botas e uma trança vermelha.
The next day she flew to France to sing the song on Le Grand Journal, on a set covered with white balloons.	No dia seguinte voou até França para cantar a mesma canção no Le Grand Journal, num cenário coberto de balões.
The singer returned to London on November 11 to record an interview for The Graham Norton Show, which included a live performance of "Only Girl (In the World)".	A cantora voltou a Londres em 11 de novembro para gravar uma entrevista para o The Graham Norton Show, que incluiu uma apresentação ao vivo do "Only Girl (In the World)".
Rihanna opened the American Music Awards with a medley of songs from Loud.	Rihanna fez a abertura do American Music Awards com um medley de canções do álbum Loud.
She began with an a cappella version of "Love the Way You Lie (Part II)", sitting on a stylized tree of lights above "a field of sable-colored blades of grass." Rihanna then sang a solo version of "What's My Name?" and a short version of "Only Girl (In the World)". According to Mawuse Ziegbe of MTV News, the singer "kicked up the island theme" as drummers in tribal dress circled her.	Começou com uma versão a cappella da "Love the Way You Lie (Part II)", sentada numa árvore de luzes estilizada no topo de um "campo de lâminas escuras de relva." De seguida, Rihanna cantou uma versão a solo de "What's My Name?" e uma versão curta de "Only Girl (In the World)". Segundo Mawuse Ziegbe da MTV News, a cantora  interpretou de "forma fantástica o tema da ilha" enquanto percussionistas em vestes tribais tocavam à sua volta.
Rihanna performed a short version of "Only Girl (In the World)" at the 31st Brit Awards on February 15, 2011, as part of a medley with two other singles from Loud: "S&M" and "What's My Name?". She had planned to perform "S&M" only (to coincide with its United Kingdom release), but was asked by the British Phonographic Industry to "tone down the sexual references in the song's lyrics".	Rihanna interpretou uma versão curta de "Only Girl (In the World)" no   31º Brit Awards a 15 de fevereiro de 2011, como parte integrante de um medley com outros dois singles do álbum Loud: "S&M" e "What's My Name?". Tinha planeado interpretar apenas a "S&M" (para coincidir com a data de lançamento da música no Reino Unido), mas foi-lhe pedido pela British Phonographic Industry para "suavizar as referências sexuais da letra da música".
Rihanna was reportedly angered at the request and a related one to perform a different song.	Segundo consta, Rihanna mostrou-se irritada com o pedido e com um outro relacionado que passava por cantar um tema diferente.
A June 2017 NRA video entitled "The Clenched Fist of Truth" used an image of "The Bean" sculpture.	Um vídeo partilhado pela NRA em junho de 2017, intitulado "The Clenched Fist of Truth", utilizou uma imagem da escultura "The Bean".
Anish Kapoor sued the NRA to stop running the video, pay any profits gained as a result of the video, compensate him for statutory damages equivalent to $150,000 per infringement, and attorney fees.	Anish Kapoor levou a NRA a tribunal para que interrompesse a difusão do vídeo, pagasse quaisquer lucros resultantes do mesmo e o compensasse por danos legais no valor de 150 000 $, montante que cobriria a infração e os honorários de advogados.
The first results of the polls from the reader participation project appeared in the form of the first three short stories which resulted from direct fan involvement in the March 2004 issue of Dengeki G's Magazine.	Os primeiros resultados das sondagens do projeto de participação dos leitores surgiram na forma de três contos, que resultaram do envolvimento direto dos fãs, no número de março de 2004 da Dengeki G's Magazine.
The stories were written by Sakurako Kimino and illustrated by Chitose Maki.	As histórias foram escritas por Sakurako Kimino e ilustradas por Chitose Maki.
Over the following months, the stories continued, producing the first story arc named the Etoile Chapter (エトワール編 Etowāru-hen) containing eighteen stories which ran between March and July 2004.	As histórias continuaram ao longo dos meses seguintes, com a produção do primeiro arco narrativo, intitulado Etoile Chapter (エトワール編 Etowāru-hen), que contém dezoito histórias ocorridas entre março e julho de 2004.
Due to the concerns that there was not enough time between the Athletic Festival (an early summer event) and the Cultural Festival (an autumn event), the second, and last, story arc named the Dormitory Panic Chapter (寄宿舎パニック編 Kishukusha Panikku-hen) containing seven stories began the next month, running between August 2004 and January 2005.	Devido às preocupações de que não haveria tempo suficiente entre o Athletic Festival (um evento realizado no início do verão) e o Cultural Festival (um evento realizado no outono), o segundo e último arco narrativo, intitulado Dormitory Panic Chapter (寄宿舎パニック編 Kishukusha Panikku-hen), que inclui sete histórias, foi iniciado no mês seguinte, ocorrendo entre agosto de 2004 e janeiro de 2005.
The second arc's stories, which were longer than the earlier pieces, involved taking one of the three main characters, performing coupling for them with one of the other eleven girls and presenting them in various situations.	As histórias do segundo arco narrativo, mais longas do que as anteriores, envolviam considerar uma das três personagens principais, formar um casal com ela e uma das outras onze raparigas e apresentá-las em várias situações.
None of the original stories were ever published again in bound volumes.	Nenhuma das histórias originais voltou a ser publicada em volumes brochados.
The stories themselves were more or less vignettes, in which each gave a brief glimpse into what was referred to as a "yuri coupling".	As histórias em si consistiam em mais ou menos vinhetas, onde cada vinheta permitia entrever aquilo a que se chamava de "relações yuri".
Between May and September 2005, a revised series of the short stories was produced; once per month, five more supplementary short stories were published during this time period, each of which was longer than any of the previous pieces.	Entre maio e setembro de 2005, foi produzida uma série revista dos contos; durante este período, uma vez por mês, eram publicados cinco contos adicionais, cada um dos quais era mais longo do que os anteriores.
Although each individual story had its own title, the stories were under the collective title of "The Girls, who art in heaven".	Embora cada história individual tivesse o seu próprio título, as histórias encontravam-se sob o título coletivo de "The Girls, who art in heaven".
After the ending of this short compilation in September 2005, it was decided that the original illustrator, Chitose Maki, would be replaced by Namuchi Takumi for future Strawberry Panic!	No final desta pequena compilação, em setembro de 2005, decidiu-se que o ilustrador original, Chitose Maki, seria substituído por Namuchi Takumi nos futuros
The show was hosted by Mai Nakahara, who voiced Nagisa Aoi in the anime edition, and Ai Shimizu, who voiced both Tamao Suzumi and Kizuna Hyūga in the anime.	A emissão foi apresentada por Mai Nakahara, a voz de Nagisa Aoi na versão animé, e Ai Shimizu, que deu voz a Tamao Suzumi e Kizuna Hyūga também no animé.
The show contained sixty-one episodes, which were divided between three CDs; the first went on sale on March 8, 2006.	A emissão contou com sessenta e um episódios, divididos entre três CD; o primeiro CD foi colocado à venda a 8 de março de 2006.
The other two releases came out on July 5, 2006, and January 11, 2007, in Japan.	Os dois outros CD foram lançados a 5 de julho de 2006 e a 11 de janeiro de 2007 no Japão.
The radio show included nine guests who had played other voice acting roles in the anime version, and Rino, singer of the opening theme "Sweetest" in the PlayStation 2 game version.	A emissão de rádio contou com nove convidados, que deram voz a outras personagens na versão animé, e com Rino, a cantora da música de abertura "Sweetest", na versão de jogo para a PlayStation 2.
The Strawberry Panic!	O manga de Strawberry Panic!,
manga, written by Sakurako Kimino and illustrated by Namuchi Takumi, was serialized in Dengeki G's Magazine between September 30, 2005, and February 28, 2007, with a new chapter released once a month.	escrito por Sakurako Kimino e ilustrado por Namuchi Takumi, foi publicado na Dengeki G's Magazine entre 30 de setembro de 2005 e 28 de fevereiro de 2007, com um novo capítulo por mês.
Two bound volumes have been published in Japan under MediaWorks' Dengeki Comics label.	Foram publicados dois volumes brochados no Japão, pela editora Media Works' Dengeki Comics.
The first went on sale on March 27, 2006, featuring Nagisa and Shizuma on the cover, and the second volume came out on October 27, 2006, featuring Nagisa and Tamao on the cover.	O primeiro foi colocado à venda a 27 de março de 2006, com Nagisa e Shizuma na capa, e o segundo foi lançado a 27 de outubro de 2006, com Nagisa e Tamao na capa.
The education system is monitored by the District Education Officer (EDO) of the City District Government of Faisalabad.	O sistema educativo é monitorizado pelo District Education Officer (EDO) do City District Government de Faisalabad.
The city government reports its findings to the Ministry of Federal Education and Professional Training and the Minister for Education.	O governo da cidade comunica as suas descobertas ao Ministério da Educação e Formação Profissional Federal e ao Ministério da Educação.
Funding is provided by the Government of Punjab, Pakistan, City District Government and the fees collected from schools.	O financiamento é fornecido pelo Governo de Punjab, Paquistão, pelo City District Government, e as propinas são recolhidas nas escolas.
There are four levels of the education system in the city: Primary, Elementary, High and Higher Secondary Level.	Existem quatro níveis no sistema de educação da cidade: primário, básico, secundário e nível pós-secundário.
Primary level education is only compulsory.	Apenas o ensino de nível primário é obrigatório.
There are a number of schools for the assistance of children with special needs.	Existem várias escolas dedicadas a apoiar crianças com necessidades especiais.
The Pakistan Electronic Media Regulatory Authority (PEMRA) is responsible for the regulation and monitoring of electronic media entertainment in the country.	A Pakistan Electronic Media Regulatory Authority (PEMRA) é responsável pela regulação e monitorização do entretenimento multimédia eletrónico no país.
Pakistan Television Corporation, is the state-owned regulated television broadcasting network.	A Pakistan Television Corporation é uma rede de radiodifusão televisiva, regulada e detida pelo estado.
The government began licensing private broadcasters in 2002.	O governo começou a licenciar operadores televisivos privados em 2002.
The government of Pakistan installed the first radio transmitters in the city on 15 September 1982.	O governo do Paquistão instalou os primeiros transmissores de rádio na cidade a 15 de setembro de 1982.
"Radio Pakistan" broadcasts three government regulated FM stations: "Radio Pakistan FM101, Radio Pakistan FM93 and Radio Pakistan Sautul Qur'an Channel FM93.4. FM101 became operational in 2002, FM93 went live in 2010 and FM93.4 Sautul Qur'an Channel went live in 2016; PBC all three stations are standard power KW 2.5.	A "Radio Pakistan" transmite três estações FM reguladas pelo governo: "Radio Pakistan FM101, Radio Pakistan FM93 e Radio Pakistan Sautul Qur'an Channel FM93.4. A FM101 iniciou operações em 2002, a FM93 entrou em direto em 2010 e a FM93.4 Sautul Qur'an Channel entrou em direto em 2016; todas as três estações do PBC são de potência normalizada de 2,5 KW.
Pakistan Telecommunication Authority is a government-owned organisation that is responsible for the establishment, operation and maintenance of telecommunications in the city.	A Pakistan Telecommunication Authority é uma organização detida pelo governo que é responsável pelo estabelecimento, operação e manutenção das telecomunicações na cidade.
The organisation monitors and prevents illegal exchanges in the city.	A organização monitoriza e evita trocas ilegais na cidade.
Pakistan Telecommunication Company Limited is the main provider of fixed line, mobile and broadband services.	A Pakistan Telecommunication Company Limited é a principal operadora de linhas fixas, móveis e serviços de banda larga.
Regional headquarters is located at the Central Telecom House in Chinot Bazaar.	A sede regional localiza-se na Central Telecom House em Chinot Bazaar.
With the deregulation of the telecommunication sector by the Ministry of Information Technology, a range of companies now offer mobile and broadband services in the city.	Com a desregulamentação do setor das telecomunicações por parte do Ministry of Information Technology, várias empresas oferecem agora serviços móveis e de banda larga na cidade.
In 2008, the Government of Pakistan lifted a forty-year ban on Bollywood films which allowed Indian films to be played in cinemas.	Em 2008, o governo do Paquistão levantou uma interdição de 40 anos relativa a filmes de Bollywook, o que permitiu a reprodução de filmes indianos nos cinemas.
The cinema industry has since seen the introduction of new cinemas such as Cinepax by Hotel One, and Cine Nagina.	A indústria cinematográfica tem, desde então, visto a abertura de novos cinemas, tais como o Cinepax do Hotel One e o Cine Nagina.
The Government College University in Faisalabad encourages students from the University of Agriculture to hold workshops and explore themes of peace and tolerance which can be used in an engaging and entertaining way to communicate complex issues to different audiences.	A Government College University em Faisalabad incentiva os alunos da University of Agriculture a realizarem workshops e a explorarem temas de paz e tolerância, os quais podem ser usados como uma forma envolvente e interessante de comunicar assuntos complexos a audiências diferentes.
In its original American broadcast on March 10, 2002, "The Old Man and the Key" received a 7.9 rating, according to Nielsen Media Research, translating to approximately 7.9 million viewers.	Na sua transmissão americana original a 10 de março de 2002, "The Old Man and the Key" recebeu uma classificação de 7,9, de acordo com Nielsen Media Research, traduzindo-se aproximadamente em 7,9 milhões de espectadores.
The episode ranked 19 in the top 25 most watched television programs the week it aired.	O episódio ficou na 19.ª posição, entre os 25 programas de televisão mais vistos na semana em que estreou.
Later in 2002, "Ode to Branson" was nominated for the Primetime Emmy Award for Outstanding Music And Lyrics, which it ultimately lost to a score from BBC's nature documentary The Blue Planet.	Mais tarde, em 2002, "Ode to Branson" recebeu uma nomeação para o Primetime Emmy Award na categoria Outstanding Music And Lyrics, a qual, finalmente, perdeu para o documentário de natureza da BBC, The Blue Planet.
In 2007, the song was included on the soundtrack album The Simpsons: Testify.	Em 2007, a canção foi incluída no álbum da banda sonora The Simpsons: Testify.
Following the thirteenth season's release on DVD and Blu-ray, "The Old Man and the Key" received mixed reviews from critics.	Após o lançamento da décima terceira temporada em DVD e Blu-Ray, "The Old Man and the Key" recebeu comentários contraditórios dos críticos.
Writing for Project:Blu, Nate Boss stated that Grampa "just isn't all that funny when cornered, and that's what we get here," and that "the jokes are a bit too few and far between".	Escrevendo para Project:Blu, Nate Boss indicou que o Avô "não é assim tão engraçado quando encurralado, e é isso que temos aqui" e que "as piadas são escassas e distanciadas".
Giving the episode a negative review, Ryan Keefer of DVD Talk wrote that it was "borderline painful" and one of the season's "duds".	Tecendo ao episódio uma crítica negativa, Ryan Keefer de DVD Talk escreveu que foi "quase doloroso" e um dos "insucessos" da temporada.
Casey Broadwater of Blu-ray.com wrote that the episode "moves at a geriatric pace", and R. L. Shaffer of IGN stated that it "represent[s] some of the worst of The Simpsons." On the other hand, giving the episode a positive review, Ron Martin of 411Mania enjoyed the "poke towards Branson, Missouri, a mecca for old people everywhere," and Jennifer Malkowski of DVD Verdict gave the episode a B rating.	Casey Broadwater de Blu-ray.com escreveu que o episódio "se move a um ritmo geriátrico" e R. L. Shaffer de IGN afirmou que o mesmo "representa algumas das piores coisas dos The Simpsons". Por outro lado, dando ao episódio um comentário positivo, Ron Martin de 411Mania desfrutou do "gozo dado a Branson, Missouri, uma meca para pessoas idosas em todo o lado", e Jennifer Malkowski de DVD Verdict deu ao episódio uma classificação de B.
Colin Jacobsson of DVD Movie Guide wrote that, even though Grampa is "essentially a one-joke personality," "those gags tend to be pretty fun." He concluded his review by writing that the episode was "a likable program."	Colin Jacobsson de DVD Movie Guide escreveu que, embora o Avô seja "essencialmente, uma personalidade com uma só piada", "esses gracejos tendem a ser bastante engraçados". Concluiu o seu comentário escrevendo que o episódio foi "um programa simpático".
Despite the mixed responses, the episode features one of the "most used little clips" of the series.	Apesar das respostas confusas, o episódio inclui "um dos pequenos clipes mais usados" da série.
The scene shows Grampa getting his driver's license.	A cena mostra o Avô a tirar a carta de condução.
Instead of taking a photo for the license on the spot, Grampa suggests that Selma, who works in the facility, use a photo of him from a newspaper headline that reads "Old man yells at cloud." Selma agrees, and Grampa, holding his newly acquired license, goes up to a window and yells "Who's laughing now?" at a cloud.	Em vez de tirar uma fotografia para a carta de condução no momento, o Avô sugere que Selma, que trabalha no estabelecimento, utilize uma fotografia dele retirada de uma manchete de jornal onde se lê "Velho grita com nuvem". Selma concorda e o Avô, segurando a sua carta de condução recém-conseguida, dirige-se a uma janela e grita "Quem se está a rir agora?" a uma nuvem.
A still from the scene has been used several times on The Daily Show.	Uma imagem da cena foi utilizada várias vezes no The Daily Show.
Both Malkowski of DVD Verdict and Jacobsson of DVD Movie Guide considered it to be the best part of the episode.	Malkowski de DVD Verdict e Jacobsson de DVD Movie Guide consideraram-na como a melhor parte do episódio.
